Subdistrict,low_salinity_share,capacity_m3_mth,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
110101,1,353703.8642,339776.523,336695.0093,336929.911,332608.0784,335870.0758,336468.4483,340790.2809,342213.5869,342213.5869,342213.5869,340372.3922,339957.0067
110201,0.861395349,12383.33051,2630.082504,2553.377118,2549.933604,1280.206543,4625.420719,6737.538769,8007.26583,8047.34028,8047.34028,8047.34028,9163.661534,5900.611654
110301,1,123850.5469,87237.87854,78887.05432,80945.02934,70429.18272,79302.18149,82863.73327,93379.57988,96526.00448,96526.00448,96526.00448,90340.24185,87760.11469
110401,0,39747.76132,0,0,0,0,0,0,0,0,0,0,0,0
110501,0.555239514,138240.2407,61326.82049,59529.49021,59390.94438,49654.9945,51603.16621,44644.78027,54380.73016,55348.66821,55348.66821,55348.66821,61489.95754,61477.66192
110601,1,357991.9255,251370.3856,251338.5195,251328.3587,215802.1135,251333.8277,251350.1494,286876.3946,286897.4081,286897.4081,286897.4081,322359.9206,286871.1845
110701,0.493106961,4247425.456,1559568.955,1558307.183,1557904.904,1307743.258,1449464.601,1341454.044,1591615.69,1592447.715,1592447.715,1592447.715,1840085.818,1700013.55
110702,0.356557377,366941.5438,65487.75304,65344.18058,63336.10314,52005.05772,78941.72944,93615.10326,104946.1487,106021.9736,106021.9736,106021.9736,117065.8742,92292.94913
110801,1,844682.8154,573489.8052,573489.8052,573489.8052,520698.5592,629899.4414,686309.0776,739100.3236,739100.3236,739100.3236,739100.3236,791891.5695,682693.1837
110802,0.928774929,328798.5713,254332.477,254295.8971,254284.2347,211679.9086,215883.1518,177494.5277,220098.8539,220122.975,220122.975,220122.975,262654.1414,258499.4865
110901,0.823529412,49133.67616,33769.84643,33313.49238,33279.11039,28634.73348,29430.95849,25793.79262,30438.16954,30683.53756,30683.53756,30683.53756,34414.81101,34108.61143
110902,1,88272.50453,30351.87147,13549.94057,17077.57031,12436.60881,30675.47914,54438.1683,59079.1298,65716.28038,65716.28038,65716.28038,36756.02314,31793.58834
110903,1,35731.89567,35731.89566,35731.89566,35731.89566,35731.89566,35731.89567,35731.89567,35731.89567,35731.89567,35731.89567,35731.89567,35731.89567,35731.89567
120101,1,205104.351,186022.3743,184436.0357,184064.9492,174183.6249,177990.7817,172524.2403,182405.5647,183384.2772,183384.2772,183384.2772,190093.3403,188246.424
120102,0.204545455,135208.697,22304.03958,22040.67992,22027.46666,18380.10492,19100.88662,16299.37979,19946.74153,20085.02799,20085.02799,20085.02799,23205.67823,22761.53199
120103,1,1882430.313,1856697.307,1854263.754,1853901.203,1842860.479,1848989.844,1845113.985,1856154.709,1857552.761,1857552.761,1857552.761,1863726.379,1860393.119
120104,1,50281.07075,35830.4145,35272.03491,35140.70928,29342.83335,33390.03372,31852.88513,37650.76106,37995.61367,37995.61367,37995.61367,42676.73043,39319.23527
120201,0.947306792,0,0,0,0,0,0,0,0,0,0,0,0,0
120301,0.947306792,0,0,0,0,0,0,0,0,0,0,0,0,0
120401,0.968719923,406999.6619,253076.123,224414.9554,226754.1417,219708.5896,272451.5089,333649.053,340694.605,353855.5957,353855.5957,353855.5957,303604.0849,277296.0531
120501,0,22431.50805,0,0,0,0,0,0,0,0,0,0,0,0
130101,0.695529145,853643.0786,523093.9907,516866.3261,519232.8599,475577.8719,485956.3708,456976.9809,500631.9688,502562.5342,502562.5342,502562.5342,533768.1928,527258.1966
